Source,Target,Weight,Season
諸保昆,都靈子,9,1
諸保昆,司馬衛,10,1
都靈子,司馬衛,5,1
都靈子,司馬林,4,1
司馬衛,司馬林,9,1
阿朱,諸保昆,4,1
阿朱,司馬衛,1,1
阿朱,司馬林,4,1
王語嫣,司馬衛,3,1
諸保昆,姜老者,4,1
姜老者,司馬林,3,1
姜老者,姚伯當,1,1
孟老者,諸保昆,5,1
孟老者,姜老者,1,1
孟老者,司馬林,6,1
王語嫣,姜老者,1,1
孟老者,王語嫣,3,1
慕容復,慕容博,14,1
慕容復,姚伯當,2,1
慕容復,秦伯起,1,1
秦伯起,姚伯當,2,1
王語嫣,秦伯起,1,1
玄悲,嚴媽媽,1,1
老顧,司馬林,1,1
老顧,姚伯當,1,1
丐幫,包不同,27,1
丐幫,王語嫣,29,1
丐幫,馬大元,11,1
包不同,馬大元,1,1
王語嫣,馬大元,1,1
段譽,馬大元,1,1
阿碧,包不靚,1,1
包不同,包不靚,4,1
阿碧,老顧,1,1
老顧,包不同,1,1
阿碧,諸保昆,1,1
阿碧,姚伯當,1,1
包不同,諸保昆,2,1
包不同,姚伯當,2,1
阿碧,鍾靈,1,1
木婉清,阿朱,3,1
木婉清,王語嫣,21,1
鍾靈,鳩摩智,3,1
鍾靈,阿朱,3,1
鍾靈,王語嫣,15,1
鳩摩智,王語嫣,25,1
慕容復,丐幫,23,1
段譽,喬峰,39,1
慕容復,鳩摩智,43,1
過彥之,司馬林,1,1
段譽,司馬林,1,1
蔣舵主,喬峰,8,1
丐幫,喬峰,105,1
包不同,喬峰,10,1
丐幫,蔣舵主,2,1
包不同,蔣舵主,2,1
阿碧,風波惡,8,1
阿朱,風波惡,9,1
丐幫,風波惡,17,1
風波惡,喬峰,16,1
風波惡,王語嫣,27,1
包不同,風波惡,60,1
阿碧,喬峰,9,1
丐幫,諸保昆,1,1
丐幫,司馬林,1,1
丐幫,姚伯當,1,1
包不同,司馬林,1,1
王語嫣,喬峰,17,1
風波惡,段譽,14,1
蔣舵主,段譽,1,1
風波惡,蔣舵主,1,1
王語嫣,蔣舵主,1,1
阿朱,喬峰,147,1
全冠清,喬峰,26,1
張全祥,全冠清,4,1
張全祥,喬峰,4,1
方舵主,張全祥,1,1
方舵主,全冠清,1,1
方舵主,喬峰,1,1
丐幫,全冠清,32,1
蔣舵主,張全祥,2,1
蔣舵主,全冠清,2,1
丐幫,宋長老,12,1
段譽,宋長老,3,1
喬峰,宋長老,15,1
段譽,全冠清,11,1
白世鏡,丐幫,19,1
白世鏡,喬峰,17,1
白世鏡,宋長老,4,1
白世鏡,全冠清,10,1
李春來,白世鏡,2,1
李春來,全冠清,1,1
李春來,喬峰,2,1
丐幫,吳長風,8,1
喬峰,吳長風,8,1
白世鏡,吳長風,2,1
阿碧,李春來,1,1
李春來,丐幫,1,1
李春來,阿朱,1,1
李春來,風波惡,1,1
李春來,王語嫣,1,1
李春來,段譽,1,1
全冠清,吳長風,4,1
全冠清,宋長老,4,1
吳長風,宋長老,2,1
馬大元,喬峰,12,1
慕容復,全冠清,8,1
王語嫣,全冠清,2,1
慕容復,包不同,54,1
慕容復,風波惡,30,1
包不同,全冠清,5,1
風波惡,全冠清,1,1
公冶乾,喬峰,5,1
公冶乾,吳長風,1,1
公冶乾,宋長老,1,1
陳孤雁,丐幫,3,1
陳孤雁,風波惡,2,1
陳孤雁,喬峰,4,1
陳孤雁,包不同,1,1
陳孤雁,公冶乾,1,1
丐幫,公冶乾,8,1
包不同,公冶乾,45,1
風波惡,公冶乾,37,1
譚婆,譚公,46,1
譚婆,喬峰,36,1
譚公,喬峰,41,1
段譽,譚婆,3,1
段譽,譚公,1,1
單正,單叔山,2,1
單正,吳長風,1,1
單叔山,吳長風,1,1
單正,喬峰,31,1
阿碧,單正,1,1
單正,阿朱,12,1
單正,王語嫣,1,1
單正,趙錢孫,21,1
單正,譚婆,8,1
趙錢孫,譚婆,46,1
趙錢孫,喬峰,46,1
單正,丐幫,11,1
丐幫,趙錢孫,15,1
單正,單伯山,4,1
單伯山,趙錢孫,3,1
單小山,單正,3,1
單伯山,喬峰,4,1
單正,譚公,6,1
趙錢孫,譚公,33,1
丐幫,譚婆,7,1
趙錢孫,段譽,2,1
慕容復,趙錢孫,2,1
阿碧,趙錢孫,1,1
阿朱,趙錢孫,20,1
王語嫣,趙錢孫,1,1
阿朱,譚公,17,1
阿朱,譚婆,14,1
丐幫,譚公,5,1
趙錢孫,馬大元,3,1
馬大元,譚婆,2,1
趙錢孫,全冠清,1,1
